"gea","ghg20","ghg50"
"AZNMc",349.450879749523,114.8060448864
"FRCCc",338.274382317468,93.1879119595902
"SPNOc",497.217644319864,25.7524904192837
"SRTVc",547.048383761305,60.4544497448885
"SRMWc",602.325514569427,88.6480642176726
"SRVCc",281.6348821988,51.1273003415699
"MROWc",393.870632139889,2.75036930838738
"SRSOc",339.123233549112,84.4173122598996
"RFCWc",521.598440859196,157.958881622635
"SRMVc",363.209348071838,252.01591135181
"ERCTc",322.931794457593,40.726158271672
"NWPPc",182.407824004372,64.9716564137046
"CAMXc",184.233089175138,33.3787531443158
"RFCMc",498.356770532111,128.339366540242
"RMPAc",517.076755434574,185.511318680157
"RFCEc",253.155671026531,134.598881676422
"SPSOc",266.978458915411,13.8106641851409
"MROEc",411.442039635316,27.9833966751892
"NEWEc",139.145000049257,29.1048190906127
"NYSTc",140.613978429132,59.7396712362506
