"Year","Source","Demand","Scenario"
2025,"NewCon",831188.126156697,"Base NHC & Reg. Ren."
2030,"NewCon",823588.509540566,"Base NHC & Reg. Ren."
2035,"NewCon",940545.7930624,"Base NHC & Reg. Ren."
2040,"NewCon",886878.578765788,"Base NHC & Reg. Ren."
2045,"NewCon",1077281.55569173,"Base NHC & Reg. Ren."
2050,"NewCon",1065135.80537312,"Base NHC & Reg. Ren."
2055,"NewCon",1301983.99045468,"Base NHC & Reg. Ren."
2060,"NewCon",1309140.38210342,"Base NHC & Reg. Ren."
2025,"NewCon_Rep",0,"Base NHC & Reg. Ren."
2030,"NewCon_Rep",0,"Base NHC & Reg. Ren."
2035,"NewCon_Rep",0,"Base NHC & Reg. Ren."
2040,"NewCon_Rep",0,"Base NHC & Reg. Ren."
2045,"NewCon_Rep",0,"Base NHC & Reg. Ren."
2050,"NewCon_Rep",831188.126156697,"Base NHC & Reg. Ren."
2055,"NewCon_Rep",823588.509540566,"Base NHC & Reg. Ren."
2060,"NewCon_Rep",940545.7930624,"Base NHC & Reg. Ren."
2025,"Renovation",502224.983863442,"Base NHC & Reg. Ren."
2030,"Renovation",530271.045938294,"Base NHC & Reg. Ren."
2035,"Renovation",565684.352054429,"Base NHC & Reg. Ren."
2040,"Renovation",567050.771120206,"Base NHC & Reg. Ren."
2045,"Renovation",579950.264878533,"Base NHC & Reg. Ren."
2050,"Renovation",584692.553229894,"Base NHC & Reg. Ren."
2055,"Renovation",563656.971227159,"Base NHC & Reg. Ren."
2060,"Renovation",546734.828530459,"Base NHC & Reg. Ren."
2025,"NewCon",1203127.09846073,"Inc. Elec. NHC & Ext. Ren."
2030,"NewCon",1185251.73300485,"Inc. Elec. NHC & Ext. Ren."
2035,"NewCon",1562189.47042737,"Inc. Elec. NHC & Ext. Ren."
2040,"NewCon",1461248.24516085,"Inc. Elec. NHC & Ext. Ren."
2045,"NewCon",1537155.22597647,"Inc. Elec. NHC & Ext. Ren."
2050,"NewCon",1516683.35393241,"Inc. Elec. NHC & Ext. Ren."
2055,"NewCon",1631613.78005728,"Inc. Elec. NHC & Ext. Ren."
2060,"NewCon",1643441.0883513,"Inc. Elec. NHC & Ext. Ren."
2025,"NewCon_Rep",0,"Inc. Elec. NHC & Ext. Ren."
2030,"NewCon_Rep",0,"Inc. Elec. NHC & Ext. Ren."
2035,"NewCon_Rep",0,"Inc. Elec. NHC & Ext. Ren."
2040,"NewCon_Rep",0,"Inc. Elec. NHC & Ext. Ren."
2045,"NewCon_Rep",0,"Inc. Elec. NHC & Ext. Ren."
2050,"NewCon_Rep",1203127.09846073,"Inc. Elec. NHC & Ext. Ren."
2055,"NewCon_Rep",1185251.73300485,"Inc. Elec. NHC & Ext. Ren."
2060,"NewCon_Rep",1562189.47042737,"Inc. Elec. NHC & Ext. Ren."
2025,"Renovation",2068087.97808221,"Inc. Elec. NHC & Ext. Ren."
2030,"Renovation",4942997.98044935,"Inc. Elec. NHC & Ext. Ren."
2035,"Renovation",6320448.79168482,"Inc. Elec. NHC & Ext. Ren."
2040,"Renovation",6953349.52227269,"Inc. Elec. NHC & Ext. Ren."
2045,"Renovation",7067398.53839889,"Inc. Elec. NHC & Ext. Ren."
2050,"Renovation",6911311.35171939,"Inc. Elec. NHC & Ext. Ren."
2055,"Renovation",6574907.75075976,"Inc. Elec. NHC & Ext. Ren."
2060,"Renovation",6179518.73877692,"Inc. Elec. NHC & Ext. Ren."
