"Year","Scenario","m2/cap"
2020,"1A/C. Baseline",60.2299752262192
2021,"1A/C. Baseline",60.6898641449906
2022,"1A/C. Baseline",61.0952995309697
2023,"1A/C. Baseline",61.4872402141755
2024,"1A/C. Baseline",61.8675612481759
2025,"1A/C. Baseline",62.2349042534993
2026,"1A/C. Baseline",62.5882828517979
2027,"1A/C. Baseline",62.9241369623335
2028,"1A/C. Baseline",63.2513130020603
2029,"1A/C. Baseline",63.5654819653313
2030,"1A/C. Baseline",63.8657863202183
2031,"1A/C. Baseline",64.1534611191301
2032,"1A/C. Baseline",64.4307798381795
2033,"1A/C. Baseline",64.6965649673055
2034,"1A/C. Baseline",64.9515649099492
2035,"1A/C. Baseline",65.1954184710006
2036,"1A/C. Baseline",65.4291804445789
2037,"1A/C. Baseline",65.6531709383319
2038,"1A/C. Baseline",65.866258565417
2039,"1A/C. Baseline",66.0694502479598
2040,"1A/C. Baseline",66.2612751944522
2041,"1A/C. Baseline",66.4431365224709
2042,"1A/C. Baseline",66.6190394870933
2043,"1A/C. Baseline",66.7866695123969
2044,"1A/C. Baseline",66.9474718612889
2045,"1A/C. Baseline",67.1080671601859
2046,"1A/C. Baseline",67.2686155372273
2047,"1A/C. Baseline",67.4195012998865
2048,"1A/C. Baseline",67.5683479004551
2049,"1A/C. Baseline",67.7149043699008
2050,"1A/C. Baseline",67.8591105692134
2051,"1A/C. Baseline",68.0015399537386
2052,"1A/C. Baseline",68.1428609708429
2053,"1A/C. Baseline",68.2828086506688
2054,"1A/C. Baseline",68.4213355006068
2055,"1A/C. Baseline",68.5589804390132
2056,"1A/C. Baseline",68.695740623623
2057,"1A/C. Baseline",68.8317333637537
2058,"1A/C. Baseline",68.9667680117581
2059,"1A/C. Baseline",69.1014920356572
2060,"1A/C. Baseline",69.2348385596205
2020,"2A/C. High Turnover",60.2299752262192
2021,"2A/C. High Turnover",60.7481497007747
2022,"2A/C. High Turnover",61.2110380342612
2023,"2A/C. High Turnover",61.6594068077651
2024,"2A/C. High Turnover",62.0948772098445
2025,"2A/C. High Turnover",62.5157258752257
2026,"2A/C. High Turnover",62.9218784246311
2027,"2A/C. High Turnover",63.3094366625904
2028,"2A/C. High Turnover",63.6872991606222
2029,"2A/C. High Turnover",64.0508174664665
2030,"2A/C. High Turnover",64.3979055729707
2031,"2A/C. High Turnover",64.7325505374609
2032,"2A/C. High Turnover",65.0548772224833
2033,"2A/C. High Turnover",65.3641309968287
2034,"2A/C. High Turnover",65.6613452885441
2035,"2A/C. High Turnover",65.9469698441161
2036,"2A/C. High Turnover",66.2206093116364
2037,"2A/C. High Turnover",66.4822140859008
2038,"2A/C. High Turnover",66.7324165138146
2039,"2A/C. High Turnover",66.9717923112147
2040,"2A/C. High Turnover",67.1984926201524
2041,"2A/C. High Turnover",67.4132304239921
2042,"2A/C. High Turnover",67.6216444277625
2043,"2A/C. High Turnover",67.8194760209863
2044,"2A/C. High Turnover",68.0120702063251
2045,"2A/C. High Turnover",68.2019096279392
2046,"2A/C. High Turnover",68.3942989967366
2047,"2A/C. High Turnover",68.5728171320602
2048,"2A/C. High Turnover",68.7488413410436
2049,"2A/C. High Turnover",68.9218899690932
2050,"2A/C. High Turnover",69.0917658082763
2051,"2A/C. High Turnover",69.2589666722058
2052,"2A/C. High Turnover",69.424106716176
2053,"2A/C. High Turnover",69.5871825649295
2054,"2A/C. High Turnover",69.7484356187324
2055,"2A/C. High Turnover",69.907628229089
2056,"2A/C. High Turnover",70.0649497765651
2057,"2A/C. High Turnover",70.220421087591
2058,"2A/C. High Turnover",70.3744015655759
2059,"2A/C. High Turnover",70.5265277289344
2060,"2A/C. High Turnover",70.6777601858384
2020,"3A/C. High Multifamily",60.2299752262192
2021,"3A/C. High Multifamily",60.5023101133592
2022,"3A/C. High Multifamily",60.7201840776061
2023,"3A/C. High Multifamily",60.9296867033343
2024,"3A/C. High Multifamily",61.1308485177569
2025,"3A/C. High Multifamily",61.3226853994547
2026,"3A/C. High Multifamily",61.504346149138
2027,"3A/C. High Multifamily",61.6767358296271
2028,"3A/C. High Multifamily",61.8409908294099
2029,"3A/C. High Multifamily",61.9956578186464
2030,"3A/C. High Multifamily",62.1411424241463
2031,"3A/C. High Multifamily",62.2768249050949
2032,"3A/C. High Multifamily",62.4066694006511
2033,"3A/C. High Multifamily",62.5290543145767
2034,"3A/C. High Multifamily",62.6443317140607
2035,"3A/C. High Multifamily",62.7524059046205
2036,"3A/C. High Multifamily",62.8537827761051
2037,"3A/C. High Multifamily",62.9502948300943
2038,"3A/C. High Multifamily",63.0407399158962
2039,"3A/C. High Multifamily",63.1256914432649
2040,"3A/C. High Multifamily",63.2037604194618
2041,"3A/C. High Multifamily",63.2918613510395
2042,"3A/C. High Multifamily",63.3769623422871
2043,"3A/C. High Multifamily",63.4559793907864
2044,"3A/C. High Multifamily",63.530027273657
2045,"3A/C. High Multifamily",63.603452036049
2046,"3A/C. High Multifamily",63.6773511741165
2047,"3A/C. High Multifamily",63.7414987171702
2048,"3A/C. High Multifamily",63.8030357316161
2049,"3A/C. High Multifamily",63.8614561067178
2050,"3A/C. High Multifamily",63.9164156534299
2051,"3A/C. High Multifamily",63.970583394319
2052,"3A/C. High Multifamily",64.0237964082248
2053,"3A/C. High Multifamily",64.0757850145739
2054,"3A/C. High Multifamily",64.1263614416043
2055,"3A/C. High Multifamily",64.1758391847245
2056,"3A/C. High Multifamily",64.2239608633044
2057,"3A/C. High Multifamily",64.2707542740433
2058,"3A/C. High Multifamily",64.3154201005637
2059,"3A/C. High Multifamily",64.359753005684
2060,"3A/C. High Multifamily",64.4025003704832
2020,"1B/D. Baseline RFA",60.2299752262192
2021,"1B/D. Baseline RFA",60.4301259369852
2022,"1B/D. Baseline RFA",60.5791532190188
2023,"1B/D. Baseline RFA",60.7187544628793
2024,"1B/D. Baseline RFA",60.8510970620755
2025,"1B/D. Baseline RFA",60.9756743655174
2026,"1B/D. Baseline RFA",61.0916617969882
2027,"1B/D. Baseline RFA",61.1965080688205
2028,"1B/D. Baseline RFA",61.2989289777977
2029,"1B/D. Baseline RFA",61.3944557332669
2030,"1B/D. Baseline RFA",61.4825756835117
2031,"1B/D. Baseline RFA",61.5640400119391
2032,"1B/D. Baseline RFA",61.6373394356867
2033,"1B/D. Baseline RFA",61.7041805547655
2034,"1B/D. Baseline RFA",61.765009146417
2035,"1B/D. Baseline RFA",61.8191690369234
2036,"1B/D. Baseline RFA",61.8675422273033
2037,"1B/D. Baseline RFA",61.9100999438079
2038,"1B/D. Baseline RFA",61.945770726077
2039,"1B/D. Baseline RFA",61.9752833324806
2040,"1B/D. Baseline RFA",61.997554332799
2041,"1B/D. Baseline RFA",62.0134364071022
2042,"1B/D. Baseline RFA",62.0248703220097
2043,"1B/D. Baseline RFA",62.030680786671
2044,"1B/D. Baseline RFA",62.0326454349326
2045,"1B/D. Baseline RFA",62.0337985981162
2046,"1B/D. Baseline RFA",62.0348796898266
2047,"1B/D. Baseline RFA",62.0323157394823
2048,"1B/D. Baseline RFA",62.0291349506671
2049,"1B/D. Baseline RFA",62.0254316233641
2050,"1B/D. Baseline RFA",62.0211179817327
2051,"1B/D. Baseline RFA",62.0165525579771
2052,"1B/D. Baseline RFA",62.016320870445
2053,"1B/D. Baseline RFA",62.0158962193591
2054,"1B/D. Baseline RFA",62.0153636373693
2055,"1B/D. Baseline RFA",62.0149905116334
2056,"1B/D. Baseline RFA",62.0149312120046
2057,"1B/D. Baseline RFA",62.0148885418763
2058,"1B/D. Baseline RFA",62.0150280351875
2059,"1B/D. Baseline RFA",62.0155284432036
2060,"1B/D. Baseline RFA",62.0156790275642
2020,"3B/D. High Multifamily RFA",60.2299752262192
2021,"3B/D. High Multifamily RFA",60.3028234089838
2022,"3B/D. High Multifamily RFA",60.3243359920032
2023,"3B/D. High Multifamily RFA",60.3413445132648
2024,"3B/D. High Multifamily RFA",60.3537756833433
2025,"3B/D. High Multifamily RFA",60.3610211136493
2026,"3B/D. High Multifamily RFA",60.3622118345183
2027,"3B/D. High Multifamily RFA",60.3588240083957
2028,"3B/D. High Multifamily RFA",60.3521962555539
2029,"3B/D. High Multifamily RFA",60.3407853943065
2030,"3B/D. High Multifamily RFA",60.3253810102277
2031,"3B/D. High Multifamily RFA",60.3049848643039
2032,"3B/D. High Multifamily RFA",60.2810048056141
2033,"3B/D. High Multifamily RFA",60.2538601036481
2034,"3B/D. High Multifamily RFA",60.2237452543942
2035,"3B/D. High Multifamily RFA",60.1901071697688
2036,"3B/D. High Multifamily RFA",60.1534166946915
2037,"3B/D. High Multifamily RFA",60.1144022283444
2038,"3B/D. High Multifamily RFA",60.0722720585519
2039,"3B/D. High Multifamily RFA",60.027521662378
2040,"3B/D. High Multifamily RFA",59.9789664842524
2041,"3B/D. High Multifamily RFA",59.9362767469451
2042,"3B/D. High Multifamily RFA",59.8919060096378
2043,"3B/D. High Multifamily RFA",59.8440351116007
2044,"3B/D. High Multifamily RFA",59.7939904078434
2045,"3B/D. High Multifamily RFA",59.743404557344
2046,"3B/D. High Multifamily RFA",59.6930921218093
2047,"3B/D. High Multifamily RFA",59.6390307228574
2048,"3B/D. High Multifamily RFA",59.5842644420865
2049,"3B/D. High Multifamily RFA",59.5289344931165
2050,"3B/D. High Multifamily RFA",59.4729122214111
2051,"3B/D. High Multifamily RFA",59.4172131391738
2052,"3B/D. High Multifamily RFA",59.3653801984823
2053,"3B/D. High Multifamily RFA",59.3135606930973
2054,"3B/D. High Multifamily RFA",59.261713700601
2055,"3B/D. High Multifamily RFA",59.2098305353278
2056,"3B/D. High Multifamily RFA",59.1579069546413
2057,"3B/D. High Multifamily RFA",59.1058811589305
2058,"3B/D. High Multifamily RFA",59.0535737842594
2059,"3B/D. High Multifamily RFA",59.0014616588894
2060,"3B/D. High Multifamily RFA",58.9486602188237
2020,"2B/D. High Turnover RFA",60.2299752262192
2021,"2B/D. High Turnover RFA",60.4410101261503
2022,"2B/D. High Turnover RFA",60.600414820983
2023,"2B/D. High Turnover RFA",60.7500000920391
2024,"2B/D. High Turnover RFA",60.8916120724841
2025,"2B/D. High Turnover RFA",61.0244362281166
2026,"2B/D. High Turnover RFA",61.1487514521352
2027,"2B/D. High Turnover RFA",61.2614533516705
2028,"2B/D. High Turnover RFA",61.3716552606626
2029,"2B/D. High Turnover RFA",61.47428197074
2030,"2B/D. High Turnover RFA",61.5678383094562
2031,"2B/D. High Turnover RFA",61.6558533660424
2032,"2B/D. High Turnover RFA",61.7347376970932
2033,"2B/D. High Turnover RFA",61.8064796958016
2034,"2B/D. High Turnover RFA",61.8718680586397
2035,"2B/D. High Turnover RFA",61.9309052834167
2036,"2B/D. High Turnover RFA",61.9830951758303
2037,"2B/D. High Turnover RFA",62.0282981273934
