"Year","StockScen","CharScen","RenScen","ElecScen","Var","GHG","Source","Ann. Emissions"
2020,1,"A","ER","MC","EmGHG",88.586691650616,"Emb. Constr.","Emb. Constr."
2021,1,"A","ER","MC","EmGHG",89.0246468076464,"Emb. Constr.","Emb. Constr."
2022,1,"A","ER","MC","EmGHG",89.010226446971,"Emb. Constr.","Emb. Constr."
2023,1,"A","ER","MC","EmGHG",88.7376558807369,"Emb. Constr.","Emb. Constr."
2024,1,"A","ER","MC","EmGHG",88.085176954907,"Emb. Constr.","Emb. Constr."
2025,1,"A","ER","MC","EmGHG",87.2382868065231,"Emb. Constr.","Emb. Constr."
2026,1,"A","ER","MC","EmGHG",85.9976070522843,"Emb. Constr.","Emb. Constr."
2027,1,"A","ER","MC","EmGHG",84.6086097485034,"Emb. Constr.","Emb. Constr."
2028,1,"A","ER","MC","EmGHG",83.1474092986938,"Emb. Constr.","Emb. Constr."
2029,1,"A","ER","MC","EmGHG",81.5663308390196,"Emb. Constr.","Emb. Constr."
2030,1,"A","ER","MC","EmGHG",80.0335493211204,"Emb. Constr.","Emb. Constr."
2031,1,"A","ER","MC","EmGHG",78.5801707989202,"Emb. Constr.","Emb. Constr."
2032,1,"A","ER","MC","EmGHG",77.1555866149206,"Emb. Constr.","Emb. Constr."
2033,1,"A","ER","MC","EmGHG",75.7364490223684,"Emb. Constr.","Emb. Constr."
2034,1,"A","ER","MC","EmGHG",74.416886128173,"Emb. Constr.","Emb. Constr."
2035,1,"A","ER","MC","EmGHG",73.1072321543898,"Emb. Constr.","Emb. Constr."
2036,1,"A","ER","MC","EmGHG",71.8635784675221,"Emb. Constr.","Emb. Constr."
2037,1,"A","ER","MC","EmGHG",70.6680854745326,"Emb. Constr.","Emb. Constr."
2038,1,"A","ER","MC","EmGHG",69.4689886874411,"Emb. Constr.","Emb. Constr."
2039,1,"A","ER","MC","EmGHG",68.4384202976019,"Emb. Constr.","Emb. Constr."
2040,1,"A","ER","MC","EmGHG",67.4991129258941,"Emb. Constr.","Emb. Constr."
2041,1,"A","ER","MC","EmGHG",66.6795658064305,"Emb. Constr.","Emb. Constr."
