"Year","CumGHG_Gt","Cum. Emissions","Scenario"
2020,0.896818787100277,"Baseline scenario","1_A_RR_MC"
2021,1.808808851892,"Baseline scenario","1_A_RR_MC"
2022,2.72428727728673,"Baseline scenario","1_A_RR_MC"
2023,3.63815036051453,"Baseline scenario","1_A_RR_MC"
2024,4.54562919320559,"Baseline scenario","1_A_RR_MC"
2025,5.44299156673884,"Baseline scenario","1_A_RR_MC"
2026,6.32666208754395,"Baseline scenario","1_A_RR_MC"
2027,7.19488513424441,"Baseline scenario","1_A_RR_MC"
2028,8.04710895691058,"Baseline scenario","1_A_RR_MC"
2029,8.88299656080843,"Baseline scenario","1_A_RR_MC"
2030,9.70385935699131,"Baseline scenario","1_A_RR_MC"
2031,10.5112227303692,"Baseline scenario","1_A_RR_MC"
2032,11.3071726641871,"Baseline scenario","1_A_RR_MC"
2033,12.0925140902014,"Baseline scenario","1_A_RR_MC"
2034,12.8673422228023,"Baseline scenario","1_A_RR_MC"
2035,13.631143258622,"Baseline scenario","1_A_RR_MC"
2036,14.3822982570925,"Baseline scenario","1_A_RR_MC"
2037,15.1202496364403,"Baseline scenario","1_A_RR_MC"
2038,15.8441761804753,"Baseline scenario","1_A_RR_MC"
2039,16.5536079756604,"Baseline scenario","1_A_RR_MC"
2040,17.2483927285427,"Baseline scenario","1_A_RR_MC"
2041,17.9282023315151,"Baseline scenario","1_A_RR_MC"
2042,18.5934012364263,"Baseline scenario","1_A_RR_MC"
2043,19.2436972936678,"Baseline scenario","1_A_RR_MC"
2044,19.8790820177132,"Baseline scenario","1_A_RR_MC"
2045,20.4993543486882,"Baseline scenario","1_A_RR_MC"
2046,21.1035523395533,"Baseline scenario","1_A_RR_MC"
2047,21.6925165556975,"Baseline scenario","1_A_RR_MC"
2048,22.2668457084411,"Baseline scenario","1_A_RR_MC"
2049,22.8280927829402,"Baseline scenario","1_A_RR_MC"
2050,23.3784240055976,"Baseline scenario","1_A_RR_MC"
2051,23.9199337011947,"Baseline scenario","1_A_RR_MC"
2052,24.455190910633,"Baseline scenario","1_A_RR_MC"
2053,24.9857247832056,"Baseline scenario","1_A_RR_MC"
2054,25.5126803642632,"Baseline scenario","1_A_RR_MC"
2055,26.0365485490772,"Baseline scenario","1_A_RR_MC"
2056,26.5569469932988,"Baseline scenario","1_A_RR_MC"
2057,27.0739534507966,"Baseline scenario","1_A_RR_MC"
2058,27.586794659532,"Baseline scenario","1_A_RR_MC"
2059,28.0945346926489,"Baseline scenario","1_A_RR_MC"
2060,28.5958865166616,"Baseline scenario","1_A_RR_MC"
2020,0.896818787100277,"Featured scenario","1_A_ER_MC"
2021,1.80925966702871,"Featured scenario","1_A_ER_MC"
2022,2.72130197079252,"Featured scenario","1_A_ER_MC"
2023,3.62720599696727,"Featured scenario","1_A_ER_MC"
2024,4.52117103652481,"Featured scenario","1_A_ER_MC"
2025,5.39874384338981,"Featured scenario","1_A_ER_MC"
2026,6.25583175668825,"Featured scenario","1_A_ER_MC"
2027,7.09045777770183,"Featured scenario","1_A_ER_MC"
2028,7.9018673470102,"Featured scenario","1_A_ER_MC"
2029,8.68999701533539,"Featured scenario","1_A_ER_MC"
2030,9.45651543907633,"Featured scenario","1_A_ER_MC"
2031,10.2031089723319,"Featured scenario","1_A_ER_MC"
2032,10.9323529265414,"Featured scenario","1_A_ER_MC"
2033,11.6454959365077,"Featured scenario","1_A_ER_MC"
2034,12.3431059568881,"Featured scenario","1_A_ER_MC"
2035,13.0246943121952,"Featured scenario","1_A_ER_MC"
2036,13.6889321215292,"Featured scenario","1_A_ER_MC"
2037,14.3356662027719,"Featured scenario","1_A_ER_MC"
2038,14.9643301986433,"Featured scenario","1_A_ER_MC"
2039,15.5747729707863,"Featured scenario","1_A_ER_MC"
2040,16.1672304234852,"Featured scenario","1_A_ER_MC"
2041,16.7415564216427,"Featured scenario","1_A_ER_MC"
2042,17.2985204249826,"Featured scenario","1_A_ER_MC"
2043,17.8384782800764,"Featured scenario","1_A_ER_MC"
2044,18.3613924047165,"Featured scenario","1_A_ER_MC"
2045,18.8670176882303,"Featured scenario","1_A_ER_MC"
2046,19.354766641852,"Featured scenario","1_A_ER_MC"
2047,19.8255830547387,"Featured scenario","1_A_ER_MC"
2048,20.280647142052,"Featured scenario","1_A_ER_MC"
2049,20.7218318873105,"Featured scenario","1_A_ER_MC"
2050,21.1517896446909,"Featured scenario","1_A_ER_MC"
2051,21.5729935776623,"Featured scenario","1_A_ER_MC"
2052,21.9888372884921,"Featured scenario","1_A_ER_MC"
2053,22.4011624276892,"Featured scenario","1_A_ER_MC"
2054,22.8112230047912,"Featured scenario","1_A_ER_MC"
2055,23.2197665227366,"Featured scenario","1_A_ER_MC"
2056,23.6261153239339,"Featured scenario","1_A_ER_MC"
2057,24.0303539675158,"Featured scenario","1_A_ER_MC"
2058,24.4316564565386,"Featured scenario","1_A_ER_MC"
2059,24.8286290215849,"Featured scenario","1_A_ER_MC"
2060,25.2198285087714,"Featured scenario","1_A_ER_MC"
