"Year","StockScen","CharScen","RenScen","ElecScen","Var","GHG","Source","Ann. Emissions"
2020,1,"A","RR","LREC","EmGHG",88.586691650616,"Emb. Constr.","Emb. Constr."
2021,1,"A","RR","LREC","EmGHG",89.0246468076464,"Emb. Constr.","Emb. Constr."
2022,1,"A","RR","LREC","EmGHG",89.010226446971,"Emb. Constr.","Emb. Constr."
2023,1,"A","RR","LREC","EmGHG",88.7376558807369,"Emb. Constr.","Emb. Constr."
2024,1,"A","RR","LREC","EmGHG",88.085176954907,"Emb. Constr.","Emb. Constr."
2025,1,"A","RR","LREC","EmGHG",87.2382868065231,"Emb. Constr.","Emb. Constr."
2026,1,"A","RR","LREC","EmGHG",85.9976070522843,"Emb. Constr.","Emb. Constr."
2027,1,"A","RR","LREC","EmGHG",84.6086097485034,"Emb. Constr.","Emb. Constr."
2028,1,"A","RR","LREC","EmGHG",83.1474092986938,"Emb. Constr.","Emb. Constr."
2029,1,"A","RR","LREC","EmGHG",81.5663308390196,"Emb. Constr.","Emb. Constr."
2030,1,"A","RR","LREC","EmGHG",80.0335493211204,"Emb. Constr.","Emb. Constr."
2031,1,"A","RR","LREC","EmGHG",78.5801707989202,"Emb. Constr.","Emb. Constr."
2032,1,"A","RR","LREC","EmGHG",77.1555866149206,"Emb. Constr.","Emb. Constr."
2033,1,"A","RR","LREC","EmGHG",75.7364490223684,"Emb. Constr.","Emb. Constr."
2034,1,"A","RR","LREC","EmGHG",74.416886128173,"Emb. Constr.","Emb. Constr."
2035,1,"A","RR","LREC","EmGHG",73.1072321543898,"Emb. Constr.","Emb. Constr."
2036,1,"A","RR","LREC","EmGHG",71.8635784675221,"Emb. Constr.","Emb. Constr."
2037,1,"A","RR","LREC","EmGHG",70.6680854745326,"Emb. Constr.","Emb. Constr."
2038,1,"A","RR","LREC","EmGHG",69.4689886874411,"Emb. Constr.","Emb. Constr."
2039,1,"A","RR","LREC","EmGHG",68.4384202976019,"Emb. Constr.","Emb. Constr."
2040,1,"A","RR","LREC","EmGHG",67.4991129258941,"Emb. Constr.","Emb. Constr."
2041,1,"A","RR","LREC","EmGHG",66.6795658064305,"Emb. Constr.","Emb. Constr."
2042,1,"A","RR","LREC","EmGHG",66.0141610814717,"Emb. Constr.","Emb. Constr."
2043,1,"A","RR","LREC","EmGHG",65.4480873496957,"Emb. Constr.","Emb. Constr."
2044,1,"A","RR","LREC","EmGHG",64.9931183089035,"Emb. Constr.","Emb. Constr."
2045,1,"A","RR","LREC","EmGHG",64.6806484593056,"Emb. Constr.","Emb. Constr."
