"Year","CumGHG_Gt","Cum. Emissions","Scenario"
2020,0.896818787100277,"Baseline scenario","1_A_RR_MC"
2021,1.808808851892,"Baseline scenario","1_A_RR_MC"
2022,2.72428727728673,"Baseline scenario","1_A_RR_MC"
2023,3.63815036051453,"Baseline scenario","1_A_RR_MC"
2024,4.54562919320559,"Baseline scenario","1_A_RR_MC"
2025,5.44299156673884,"Baseline scenario","1_A_RR_MC"
2026,6.32666208754395,"Baseline scenario","1_A_RR_MC"
2027,7.19488513424441,"Baseline scenario","1_A_RR_MC"
2028,8.04710895691058,"Baseline scenario","1_A_RR_MC"
2029,8.88299656080843,"Baseline scenario","1_A_RR_MC"
2030,9.70385935699131,"Baseline scenario","1_A_RR_MC"
2031,10.5112227303692,"Baseline scenario","1_A_RR_MC"
2032,11.3071726641871,"Baseline scenario","1_A_RR_MC"
2033,12.0925140902014,"Baseline scenario","1_A_RR_MC"
2034,12.8673422228023,"Baseline scenario","1_A_RR_MC"
2035,13.631143258622,"Baseline scenario","1_A_RR_MC"
2036,14.3822982570925,"Baseline scenario","1_A_RR_MC"
2037,15.1202496364403,"Baseline scenario","1_A_RR_MC"
2038,15.8441761804753,"Baseline scenario","1_A_RR_MC"
2039,16.5536079756604,"Baseline scenario","1_A_RR_MC"
2040,17.2483927285427,"Baseline scenario","1_A_RR_MC"
2041,17.9282023315151,"Baseline scenario","1_A_RR_MC"
2042,18.5934012364263,"Baseline scenario","1_A_RR_MC"
2043,19.2436972936678,"Baseline scenario","1_A_RR_MC"
2044,19.8790820177132,"Baseline scenario","1_A_RR_MC"
2045,20.4993543486882,"Baseline scenario","1_A_RR_MC"
2046,21.1035523395533,"Baseline scenario","1_A_RR_MC"
2047,21.6925165556975,"Baseline scenario","1_A_RR_MC"
2048,22.2668457084411,"Baseline scenario","1_A_RR_MC"
2049,22.8280927829402,"Baseline scenario","1_A_RR_MC"
2050,23.3784240055976,"Baseline scenario","1_A_RR_MC"
2051,23.9199337011947,"Baseline scenario","1_A_RR_MC"
2052,24.455190910633,"Baseline scenario","1_A_RR_MC"
2053,24.9857247832056,"Baseline scenario","1_A_RR_MC"
2054,25.5126803642632,"Baseline scenario","1_A_RR_MC"
2055,26.0365485490772,"Baseline scenario","1_A_RR_MC"
2056,26.5569469932988,"Baseline scenario","1_A_RR_MC"
2057,27.0739534507966,"Baseline scenario","1_A_RR_MC"
2058,27.586794659532,"Baseline scenario","1_A_RR_MC"
2059,28.0945346926489,"Baseline scenario","1_A_RR_MC"
2060,28.5958865166616,"Baseline scenario","1_A_RR_MC"
2020,0.895959520904056,"Featured scenario","1_A_RR_LREC"
2021,1.80324671865148,"Featured scenario","1_A_RR_LREC"
2022,2.70719345244084,"Featured scenario","1_A_RR_LREC"
2023,3.60016732857354,"Featured scenario","1_A_RR_LREC"
2024,4.47532728053543,"Featured scenario","1_A_RR_LREC"
2025,5.32732547434542,"Featured scenario","1_A_RR_LREC"
2026,6.15144492343092,"Featured scenario","1_A_RR_LREC"
2027,6.9453324440646,"Featured scenario","1_A_RR_LREC"
2028,7.70840025419084,"Featured scenario","1_A_RR_LREC"
2029,8.44083685717449,"Featured scenario","1_A_RR_LREC"
2030,9.14504069239264,"Featured scenario","1_A_RR_LREC"
2031,9.82409820543673,"Featured scenario","1_A_RR_LREC"
2032,10.4817804811227,"Featured scenario","1_A_RR_LREC"
2033,11.1206140957998,"Featured scenario","1_A_RR_LREC"
2034,11.7424524514734,"Featured scenario","1_A_RR_LREC"
2035,12.3485764754134,"Featured scenario","1_A_RR_LREC"
2036,12.939123479125,"Featured scenario","1_A_RR_LREC"
2037,13.5149535679991,"Featured scenario","1_A_RR_LREC"
2038,14.0762496265146,"Featured scenario","1_A_RR_LREC"
2039,14.6231322553083,"Featured scenario","1_A_RR_LREC"
2040,15.1556260886056,"Featured scenario","1_A_RR_LREC"
2041,15.6733063717217,"Featured scenario","1_A_RR_LREC"
2042,16.1767273816259,"Featured scenario","1_A_RR_LREC"
2043,16.6662132777683,"Featured scenario","1_A_RR_LREC"
2044,17.142798367619,"Featured scenario","1_A_RR_LREC"
2045,17.6077508682375,"Featured scenario","1_A_RR_LREC"
2046,18.0618035194543,"Featured scenario","1_A_RR_LREC"
2047,18.5069126874588,"Featured scenario","1_A_RR_LREC"
2048,18.9440129243008,"Featured scenario","1_A_RR_LREC"
2049,19.3742130957939,"Featured scenario","1_A_RR_LREC"
2050,19.7984553489281,"Featured scenario","1_A_RR_LREC"
2051,20.2170284136687,"Featured scenario","1_A_RR_LREC"
2052,20.6309079993736,"Featured scenario","1_A_RR_LREC"
2053,21.0404406317325,"Featured scenario","1_A_RR_LREC"
2054,21.4459994404337,"Featured scenario","1_A_RR_LREC"
2055,21.8477141130264,"Featured scenario","1_A_RR_LREC"
2056,22.2452121164472,"Featured scenario","1_A_RR_LREC"
2057,22.6387932791214,"Featured scenario","1_A_RR_LREC"
2058,23.0280789879057,"Featured scenario","1_A_RR_LREC"
2059,23.4127005391775,"Featured scenario","1_A_RR_LREC"
2060,23.792110697023,"Featured scenario","1_A_RR_LREC"
