"Year","CumGHG_Gt","Cum. Emissions","Scenario"
2020,0.896818787100277,"Baseline scenario","1_A_RR_MC"
2021,1.808808851892,"Baseline scenario","1_A_RR_MC"
2022,2.72428727728673,"Baseline scenario","1_A_RR_MC"
2023,3.63815036051453,"Baseline scenario","1_A_RR_MC"
2024,4.54562919320559,"Baseline scenario","1_A_RR_MC"
2025,5.44299156673884,"Baseline scenario","1_A_RR_MC"
2026,6.32666208754395,"Baseline scenario","1_A_RR_MC"
2027,7.19488513424441,"Baseline scenario","1_A_RR_MC"
2028,8.04710895691058,"Baseline scenario","1_A_RR_MC"
2029,8.88299656080843,"Baseline scenario","1_A_RR_MC"
2030,9.70385935699131,"Baseline scenario","1_A_RR_MC"
2031,10.5112227303692,"Baseline scenario","1_A_RR_MC"
2032,11.3071726641871,"Baseline scenario","1_A_RR_MC"
2033,12.0925140902014,"Baseline scenario","1_A_RR_MC"
2034,12.8673422228023,"Baseline scenario","1_A_RR_MC"
2035,13.631143258622,"Baseline scenario","1_A_RR_MC"
2036,14.3822982570925,"Baseline scenario","1_A_RR_MC"
2037,15.1202496364403,"Baseline scenario","1_A_RR_MC"
2038,15.8441761804753,"Baseline scenario","1_A_RR_MC"
2039,16.5536079756604,"Baseline scenario","1_A_RR_MC"
2040,17.2483927285427,"Baseline scenario","1_A_RR_MC"
2041,17.9282023315151,"Baseline scenario","1_A_RR_MC"
2042,18.5934012364263,"Baseline scenario","1_A_RR_MC"
2043,19.2436972936678,"Baseline scenario","1_A_RR_MC"
2044,19.8790820177132,"Baseline scenario","1_A_RR_MC"
2045,20.4993543486882,"Baseline scenario","1_A_RR_MC"
2046,21.1035523395533,"Baseline scenario","1_A_RR_MC"
2047,21.6925165556975,"Baseline scenario","1_A_RR_MC"
2048,22.2668457084411,"Baseline scenario","1_A_RR_MC"
2049,22.8280927829402,"Baseline scenario","1_A_RR_MC"
2050,23.3784240055976,"Baseline scenario","1_A_RR_MC"
2051,23.9199337011947,"Baseline scenario","1_A_RR_MC"
2052,24.455190910633,"Baseline scenario","1_A_RR_MC"
2053,24.9857247832056,"Baseline scenario","1_A_RR_MC"
2054,25.5126803642632,"Baseline scenario","1_A_RR_MC"
2055,26.0365485490772,"Baseline scenario","1_A_RR_MC"
2056,26.5569469932988,"Baseline scenario","1_A_RR_MC"
2057,27.0739534507966,"Baseline scenario","1_A_RR_MC"
2058,27.586794659532,"Baseline scenario","1_A_RR_MC"
2059,28.0945346926489,"Baseline scenario","1_A_RR_MC"
2060,28.5958865166616,"Baseline scenario","1_A_RR_MC"
2020,0.8691985719672,"Featured scenario","3_D_ER_LREC"
2021,1.7484672046758,"Featured scenario","3_D_ER_LREC"
2022,2.61857060436797,"Featured scenario","3_D_ER_LREC"
2023,3.47110837986948,"Featured scenario","3_D_ER_LREC"
2024,4.29817583599971,"Featured scenario","3_D_ER_LREC"
2025,5.09362266591116,"Featured scenario","3_D_ER_LREC"
2026,5.85218331244207,"Featured scenario","3_D_ER_LREC"
2027,6.57106154105385,"Featured scenario","3_D_ER_LREC"
2028,7.24915953130074,"Featured scenario","3_D_ER_LREC"
2029,7.88673010421859,"Featured scenario","3_D_ER_LREC"
2030,8.48625405005631,"Featured scenario","3_D_ER_LREC"
2031,9.05054062514379,"Featured scenario","3_D_ER_LREC"
2032,9.58367572250507,"Featured scenario","3_D_ER_LREC"
2033,10.0885453194627,"Featured scenario","3_D_ER_LREC"
2034,10.5675441792365,"Featured scenario","3_D_ER_LREC"
2035,11.0221664641294,"Featured scenario","3_D_ER_LREC"
2036,11.4531942559617,"Featured scenario","3_D_ER_LREC"
2037,11.8622199231537,"Featured scenario","3_D_ER_LREC"
2038,12.2501344673621,"Featured scenario","3_D_ER_LREC"
2039,12.61787841371,"Featured scenario","3_D_ER_LREC"
2040,12.96675086624,"Featured scenario","3_D_ER_LREC"
2041,13.2966600762524,"Featured scenario","3_D_ER_LREC"
2042,13.6090484484856,"Featured scenario","3_D_ER_LREC"
2043,13.9053412358526,"Featured scenario","3_D_ER_LREC"
2044,14.1869355708462,"Featured scenario","3_D_ER_LREC"
2045,14.4553319083969,"Featured scenario","3_D_ER_LREC"
2046,14.7118929760771,"Featured scenario","3_D_ER_LREC"
2047,14.9588380950876,"Featured scenario","3_D_ER_LREC"
2048,15.1977128004686,"Featured scenario","3_D_ER_LREC"
2049,15.4298377911598,"Featured scenario","3_D_ER_LREC"
2050,15.6564585434577,"Featured scenario","3_D_ER_LREC"
2051,15.8779470413249,"Featured scenario","3_D_ER_LREC"
2052,16.0958510996433,"Featured scenario","3_D_ER_LREC"
2053,16.3106277596498,"Featured scenario","3_D_ER_LREC"
2054,16.5226087893131,"Featured scenario","3_D_ER_LREC"
2055,16.7321059169985,"Featured scenario","3_D_ER_LREC"
2056,16.9384646809099,"Featured scenario","3_D_ER_LREC"
2057,17.1420059563954,"Featured scenario","3_D_ER_LREC"
2058,17.3423588277369,"Featured scenario","3_D_ER_LREC"
2059,17.538755323221,"Featured scenario","3_D_ER_LREC"
2060,17.7306323912227,"Featured scenario","3_D_ER_LREC"
