"Year","GHG_int","gea"
2024,368.081532516092,"SRSOc"
2048,206.948839832763,"SRSOc"
2025,378.63631013074,"SRSOc"
2050,194.505635177426,"SRSOc"
2028,382.071583340384,"SRSOc"
2030,339.108544026855,"SRSOc"
2032,313.597991779287,"SRSOc"
2034,300.750348155,"SRSOc"
2035,309.447350447394,"SRSOc"
2036,318.144352739788,"SRSOc"
2038,271.168490934826,"SRSOc"
2040,272.396058465588,"SRSOc"
2042,265.045511216461,"SRSOc"
2022,331.337473360403,"SRSOc"
2020,339.328019483465,"SRSOc"
2046,208.33528959535,"SRSOc"
2026,389.191087745388,"SRSOc"
2044,255.097898748299,"SRSOc"
2045,231.716594171825,"SRSOc"
2024,404.853811646515,"AZNMc"
2034,309.114513061775,"AZNMc"
2028,367.223760439879,"AZNMc"
2025,401.594880475233,"AZNMc"
2026,398.335949303951,"AZNMc"
2020,349.972314727415,"AZNMc"
2035,287.180695409049,"AZNMc"
2030,338.573157058626,"AZNMc"
2032,319.246118008215,"AZNMc"
2046,165.663370979365,"AZNMc"
2022,417.794930844787,"AZNMc"
2048,154.08078283589,"AZNMc"
2050,152.960522823809,"AZNMc"
2038,240.589170544259,"AZNMc"
2040,230.104785632285,"AZNMc"
2042,225.914424941047,"AZNMc"
2036,265.246877756323,"AZNMc"
2045,180.199974371756,"AZNMc"
2044,194.736577764147,"AZNMc"
2028,328.934072062166,"SRMVc"
2026,336.435509156462,"SRMVc"
2032,276.28235925457,"SRMVc"
2034,278.231533994781,"SRMVc"
2024,331.509906824366,"SRMVc"
2030,280.00836222701,"SRMVc"
2020,363.084007779127,"SRMVc"
2022,353.545033185977,"SRMVc"
2050,291.052661248901,"SRMVc"
2025,333.972707990414,"SRMVc"
2046,291.503051576394,"SRMVc"
2048,292.253456755761,"SRMVc"
2040,276.736894959261,"SRMVc"
2035,279.382291258856,"SRMVc"
2036,280.533048522931,"SRMVc"
2038,277.555797419003,"SRMVc"
2042,278.368662935726,"SRMVc"
2044,277.370799908923,"SRMVc"
2045,284.436925742658,"SRMVc"
2025,187.944165063859,"SPSOc"
2045,72.7871877497325,"SPSOc"
2044,79.090262526707,"SPSOc"
2030,161.708190369743,"SPSOc"
2046,66.484112972758,"SPSOc"
2026,182.033462460697,"SPSOc"
2028,162.269791559809,"SPSOc"
2020,267.795289942432,"SPSOc"
2022,266.828532234698,"SPSOc"
2024,193.854867667022,"SPSOc"
2048,69.0142936011484,"SPSOc"
2050,55.2027534234241,"SPSOc"
2036,149.586732301001,"SPSOc"
2032,146.356127082383,"SPSOc"
2034,146.617756616326,"SPSOc"
2035,148.102244458663,"SPSOc"
2038,123.975158436056,"SPSOc"
2040,99.2418668725944,"SPSOc"
2042,111.044380882461,"SPSOc"
2040,83.7222701358236,"CAMXc"
2050,58.4286694156995,"CAMXc"
2038,88.9498275442303,"CAMXc"
2034,102.055809815432,"CAMXc"
2035,98.304104977384,"CAMXc"
2042,73.4342524548861,"CAMXc"
2044,63.7636370832908,"CAMXc"
2045,61.9958696174285,"CAMXc"
2046,60.2281021515662,"CAMXc"
2048,59.0175050723792,"CAMXc"
2020,184.437671087273,"CAMXc"
2022,174.016140944341,"CAMXc"
2024,157.039024732071,"CAMXc"
2025,146.995647312085,"CAMXc"
2026,136.952269892099,"CAMXc"
2028,121.85840191066,"CAMXc"
2030,105.464612988382,"CAMXc"
2032,104.844437749518,"CAMXc"
2036,94.5524001393363,"CAMXc"
2035,200.920151601122,"NWPPc"
2036,197.473434254382,"NWPPc"
2038,178.40459674602,"NWPPc"
2034,204.366868947862,"NWPPc"
2032,203.722546794254,"NWPPc"
2042,172.591546535817,"NWPPc"
2044,174.178495720694,"NWPPc"
2045,174.742454583719,"NWPPc"
2040,174.689172223899,"NWPPc"
2048,169.993052824509,"NWPPc"
2050,126.506200005677,"NWPPc"
2026,223.582887715632,"NWPPc"
2046,175.306413446745,"NWPPc"
2030,214.997173426858,"NWPPc"
2024,239.41490309693,"NWPPc"
2025,231.498895406281,"NWPPc"
2028,216.434193414615,"NWPPc"
2022,246.533245170781,"NWPPc"
2020,182.705892596846,"NWPPc"
2026,588.715486414341,"RMPAc"
2048,270.574673255474,"RMPAc"
2028,565.573084078015,"RMPAc"
2025,598.403617108307,"RMPAc"
2034,499.332854739843,"RMPAc"
2035,490.71642242525,"RMPAc"
2030,540.65602379122,"RMPAc"
