"Year","GHG_int","gea"
2024,345.274898566745,"SRSOc"
2048,90.5671541552457,"SRSOc"
2025,352.621888322907,"SRSOc"
2050,84.4173122598996,"SRSOc"
2028,280.927639966572,"SRSOc"
2030,215.099042092726,"SRSOc"
2032,192.872374844844,"SRSOc"
2034,176.978107265636,"SRSOc"
2035,174.109269779366,"SRSOc"
2036,171.240432293097,"SRSOc"
2038,155.662945996384,"SRSOc"
2040,151.798488132552,"SRSOc"
2042,125.71216923925,"SRSOc"
2022,331.022364393264,"SRSOc"
2020,339.123233549112,"SRSOc"
2046,89.5488424771692,"SRSOc"
2026,359.968878079068,"SRSOc"
2044,109.744940315667,"SRSOc"
2045,99.6468913964183,"SRSOc"
2024,390.962412681617,"AZNMc"
2034,260.477229524344,"AZNMc"
2028,316.308577162734,"AZNMc"
2025,377.225368338969,"AZNMc"
2026,363.48832399632,"AZNMc"
2020,349.450879749523,"AZNMc"
2035,239.175767449172,"AZNMc"
2030,286.224349730534,"AZNMc"
2032,266.85481544846,"AZNMc"
2046,123.200369248533,"AZNMc"
2022,416.876460687013,"AZNMc"
2048,118.125154799441,"AZNMc"
2050,114.8060448864,"AZNMc"
2038,185.861559137956,"AZNMc"
2040,159.532098725412,"AZNMc"
2042,159.091288302895,"AZNMc"
2036,217.874305374,"AZNMc"
2045,127.506194828525,"AZNMc"
2044,131.812020408516,"AZNMc"
2028,300.572824612696,"SRMVc"
2026,311.032687523025,"SRMVc"
2032,256.654861230359,"SRMVc"
2034,258.972702805739,"SRMVc"
2024,317.53044122399,"SRMVc"
2030,259.868166263594,"SRMVc"
2020,363.209348071838,"SRMVc"
2022,348.658093266146,"SRMVc"
2050,252.01591135181,"SRMVc"
2025,314.281564373508,"SRMVc"
2046,285.842640514592,"SRMVc"
2048,285.143710776707,"SRMVc"
2040,253.07331141814,"SRMVc"
2035,257.092085169211,"SRMVc"
2036,255.211467532683,"SRMVc"
2038,255.100873170768,"SRMVc"
2042,246.865818307554,"SRMVc"
2044,240.967867256871,"SRMVc"
2045,263.405253885731,"SRMVc"
2025,104.86291708774,"SPSOc"
2045,13.7168906984449,"SPSOc"
2044,11.0349053225487,"SPSOc"
2030,49.6417232464382,"SPSOc"
2046,16.398876074341,"SPSOc"
2026,94.9764574268908,"SPSOc"
2028,66.0756921122464,"SPSOc"
2020,266.978458915411,"SPSOc"
2022,245.085755023014,"SPSOc"
2024,114.74937674859,"SPSOc"
2048,18.6825216637268,"SPSOc"
2050,13.8106641851409,"SPSOc"
2036,29.2586491999364,"SPSOc"
2032,43.8509308129871,"SPSOc"
2034,37.2756350348164,"SPSOc"
2035,33.2671421173764,"SPSOc"
2038,22.3708978889803,"SPSOc"
2040,22.7432225404201,"SPSOc"
2042,16.4352509970421,"SPSOc"
2040,57.8768573958588,"CAMXc"
2050,33.3787531443158,"CAMXc"
2038,68.442789281394,"CAMXc"
2034,90.5957994086811,"CAMXc"
2035,86.2029988187613,"CAMXc"
2042,52.720401654955,"CAMXc"
2044,43.1690230133565,"CAMXc"
2045,40.5232222107534,"CAMXc"
2046,37.8774214081503,"CAMXc"
2048,35.9271995030215,"CAMXc"
2020,184.233089175138,"CAMXc"
2022,173.091709928947,"CAMXc"
2024,159.355686439337,"CAMXc"
2025,147.499267180247,"CAMXc"
2026,135.642847921157,"CAMXc"
2028,115.133538736837,"CAMXc"
