"State","abs_redn_hiTO","pc_redn_hiTO"
"AL",-4.73597833243372,-0.0117
"AR",-6.46198690844139,-0.0254
"AZ",-11.7371149102815,-0.0226
"CA",-51.111805542517,-0.0355
"CO",-8.27506074114046,-0.0104
"CT",1.16241847745692,0.0042
"DC",-0.773419048213569,-0.0111
"DE",-2.26303561508624,-0.0224
"FL",-52.8228977199394,-0.0348
"GA",-19.955666028641,-0.019
"IA",-3.46691413912788,-0.009
"ID",-2.74595942313553,-0.0185
"IL",-6.10400589302617,-0.004
"IN",-6.81260081772973,-0.0074
"KS",-1.8941038235194,-0.0056
"KY",-3.80586965560826,-0.0072
"LA",-6.4918901201122,-0.0163
"MA",2.20511350091579,0.0035
"MD",-3.50111783114482,-0.0065
"ME",0.333963395055662,0.0025
"MI",-4.51184323097664,-0.004
"MN",-0.0505051994049381,-1e-04
"MO",-0.366689963385738,-5e-04
"MS",-3.09079307872202,-0.0119
"MT",-0.276212900645589,-0.0024
"NC",-21.7024206782047,-0.0282
"ND",-0.12623556707905,-8e-04
"NE",-0.00255934846370565,0
"NH",0.952861133286262,0.0079
"NJ",-1.14849844563093,-0.0014
"NM",-2.24586106853809,-0.0155
"NV",-3.56469772418768,-0.015
"NY",9.75107643242154,0.0067
"OH",-8.94511122572089,-0.006
"OK",-6.73312878595914,-0.022
"OR",-3.78070927584997,-0.0141
"PA",2.27779759087957,0.0017
"RI",1.28596162487024,0.0151
"SC",-12.0055402212054,-0.0321
"SD",1.02178602842983,0.0081
"TN",-4.97409006953001,-0.0064
"TX",-59.9570984221823,-0.0272
"UT",-1.1427619221017,-0.0045
"VA",-13.5913413241074,-0.0186
"VT",-0.146271299769829,-0.0027
"WA",-4.05270761003192,-0.0077
"WI",-6.26909568353176,-0.0088
"WV",-0.248862263274475,-0.0011
"WY",-1.11906748013405,-0.0134
